question,references
What is the main function of P. falciparum as described in the text?,"[{""content"": ""P. falciparum appears to be ultra-streamlined and exquisitely tuned to perform a single job: consume, replicate, and invade"", ""start_index"": 127737, ""end_index"": 127860}]"
What are the titles of the software tools mentioned in the 1996 publication?,"[{""content"": ""Galtier N  Gouy M  Gautier C   SEAVIEW and PHYLO_WIN: Two graphic tools for sequence alignment and molecular phylogeny Comput Appl Biosci 1996 12 543 548 9021275 "", ""start_index"": 216798, ""end_index"": 216960}]"
How does the rrf-3 strain affect the detection of postembryonic mutant phenotypes compared to the N2 strain?,"[{""content"": ""We conclude that rrf-3 particularly improves detection of genes with postembryonic mutant phenotypes, a class that is poorly detected using wild-type N2"", ""start_index"": 490688, ""end_index"": 490840}, {""content"": ""To summarise, using the rrf-3 RNAi supersensitive strain in large-scale screens increases the percentage of clones for which it is possible to detect a phenotype. Detection of postembryonic phenotypes is particularly increased, whereas detection of essential genes is similar in rrf-3 and N2"", ""start_index"": 492140, ""end_index"": 492431}]"
What financial estimations are provided for the cost of bringing a GM crop to market?,"[{""content"": ""Beachy estimates that it takes between US$5 million and US$10 million to bring a GM crop to market"", ""start_index"": 363791, ""end_index"": 363889}]"
What role does insulin play in the translocation of ARNO to the plasma membrane?,"[{""content"": ""Our studies showed that insulin promoted the translocation of myc-tagged ARNO constructs to the plasma membrane"", ""start_index"": 248961, ""end_index"": 249072}, {""content"": ""the plasma membrane translocation of ARNO is strongly regulated by insulin and, perhaps, other extracellular agonists"", ""start_index"": 249744, ""end_index"": 249861}]"
What are the essential components and their functions identified in the molecular oscillations of Drosophila's circadian rhythms?,"[{""content"": ""A small cluster of neurons in adult Drosophila brain, the ventral lateral neurons (LNvs), is essential for self-sustained behavioral rhythms and has been proposed to be the primary pacemaker for locomotor activity rhythms"", ""start_index"": 130023, ""end_index"": 130244}, {""content"": ""This persistent molecular rhythm requires pigment-dispersing factor (PDF), an LNv-specific neuropeptide, because the molecular oscillations are gradually lost when Pdf01 mutant flies are exposed to free-running conditions"", ""start_index"": 130572, ""end_index"": 130793}, {""content"": ""PDF is likely to affect some clock neurons directly, since the peptide appears to bind to the surface of many clock neurons, including the LNvs themselves"", ""start_index"": 130906, ""end_index"": 131060}, {""content"": ""Based on the damping results with Pdf01 mutant flies, we propose that LNvs, and specifically the PDF neuropeptide that it synthesizes, are important in coordinating a circadian cellular network within the brain"", ""start_index"": 131423, ""end_index"": 131633}]"
What methodology was used to analyze the genetic divergence among Borneo elephants in comparison to other Asian elephants?,"[{""content"": ""We PCR-amplified and sequenced a 630 bp fragment of mitochondrial DNA (mtDNA), including the hypervariable left domain of the d-loop (Fernando et al. 2000), from 20 Borneo elephants and compared them with 317 sequences we generated for elephants across ten of the 13 Asian elephant range states (Figure 2)"", ""start_index"": 96598, ""end_index"": 96903}, {""content"": ""Similar tree topologies were obtained by maximum parsimony, neighbour joining, and maximum-likelihood methods of phylogenetic analyses, with some minor rearrangements of the terminal branches"", ""start_index"": 97242, ""end_index"": 97433}]"
What role does axin instability play in the Wnt signaling pathway?,"[{""content"": ""We ask here what role axin instability plays in the behavior of the Wnt pathway and in the responsiveness of the pathway to the Wnt signal?"", ""start_index"": 385144, ""end_index"": 385283}]"
"What is the focus of the research conducted by Fox BA, Li WB, Tanaka M, Inselburg J, Bzik DJ related to Plasmodium falciparum?","[{""content"": ""Fox BA  Li WB  Tanaka M  Inselburg J  Bzik DJ   Molecular characterization of the largest subunit of Plasmodium falciparum  RNA polymerase I Mol Biochem Parasitol 1993 61 37 48 8259131 "", ""start_index"": 81144, ""end_index"": 81329}]"
"What stages of P. falciparum's development involve expression of HAP, PM II, and FP-2?","[{""content"": ""While HAP and PM II are expressed in the mid-trophozoite stage, during peak hemoglobin catabolism, PMI and IV are maximally expressed in the ring stage along with the cysteine protease falcipain-1 (FP-1)"", ""start_index"": 48443, ""end_index"": 48646}, {""content"": ""Subsequently, a second group of hemoglobinases, including the m1-family aminopeptidase, FP-2, and falcilysin, is expressed simultaneously with HAP and PM II during the trophozoite stage of the IDC"", ""start_index"": 49039, ""end_index"": 49235}]"
